gender	 preparation_completed   math    reading	    writing
1	1	72	72	74                              
1	0	69	90	88
0	0	90	95	93
0	0	47	57	44
1	0	76	78	75
1	1	83	78	85
0	0	43	39	43
0	1	64	64	67
1  	0	38	60	50
0  	0	58	54	52
0  	0	40	52	43
1  	0	65	81	73
0	1	78	72	70
0	0	50	53	58
1	0	69	75	78
1	0	88	89	86
0	0	18	32	28
1	1	46	42	46
0	0	54	58	61
1	0	66	69	63
0	1	65	75	70
1	0	44	54	53
0	0	69	73	73
0	1	74	71	80
1	0	73	74	72
0	0	69	54	55
1	0	67	69	75
0	0	70	70	65
1	0	62	70	75
1	0	69	74	74
1	0	63	65	61
1	0	56	72	65
0	0	40	42	38
